id	SRR925687	SRR925688	SRR925720	SRR925721	SRR934634	SRR925697	SRR925703	SRR925714	SRR925716	SRR925726	SRR934636
ENSG00000145425.8	1149.21	1246.93	1166.29	1105.12	138.3	823.93	935.03	882.54	454.18	1460.98	86.97
ENSG00000145982.10	8.82	12.44	17.69	10.33	19.36	12.05	16.57	14.42	10.81	6.91	11.7
ENSG00000188706.11	20.46	28.72	23.8	21.66	20.04	40.13	15.5	19.74	9.12	23.91	8.75
ENSG00000148606.11	10.05	5.24	9.06	9.81	20.76	9.93	9.97	16.34	6.49	8.53	34.79
ENSG00000206527.8	18.54	50.86	23.83	18.9	13.44	28.14	21.48	35.52	15.56	14.31	3.1
ENSG00000106153.12	438.83	358.26	469.71	413.12	764.71	507.19	234.31	208.51	476.25	597.75	521.01
ENSG00000147789.14	13.54	16.46	26.21	21.85	24.69	21.31	25.27	13.06	27.09	11.02	51.47
ENSG00000174684.6	18.16	16.11	10.07	14.21	6.66	12.81	32.82	7.45	16.84	11.31	13.77
ENSG00000164649.18	23.47	11.39	46.45	5.89	47.46	20.44	8.8	19.03	14.47	53.04	0.37
ENSG00000135900.3	23.07	8.23	22	19.73	16.67	17.87	19.21	16.82	9.8	18.59	12.95
ENSG00000119760.14	16.55	16.02	14.48	17.39	17.77	14.26	20.45	12.14	13.16	25.55	22.72
ENSG00000168397.15	88.18	66.53	60.46	65.16	47.27	68.69	78.66	63.82	55.21	31.34	58.36
ENSG00000172465.12	14.93	27.18	10.54	13.45	5.31	18.22	11.12	6.96	9.06	17.65	5.61
ENSG00000211445.10	0.43	0.93	2.01	9	59.89	0.51	1.57	15.68	0.54	18.51	0.5
ENSG00000181649.5	44.09	12.64	44.76	139.98	97.93	6.11	5.97	8.67	123.24	126.85	1.71
ENSG00000161204.10	20.93	32.16	39	51.82	63.88	24.28	22.72	51.67	43.49	18.37	50.2
ENSG00000137500.8	24.5	8.19	33.58	17.1	18.77	22.95	20.53	41.94	11.99	22.25	26.06
ENSG00000104067.15	28.05	19.56	23.91	27.44	11.09	20.67	23.12	20.85	13.82	27.98	9
ENSG00000005448.15	90.64	81.04	14.89	20.75	23.3	27.56	13.92	21.12	41.83	62.4	37.36
ENSG00000141568.18	28.85	32.28	37.62	30.41	47.18	24.96	33.15	46.45	23.83	34.33	95.59
ENSG00000179943.7	7.71	8.61	7.79	8.14	6.9	11.03	2.88	6.51	20.18	6.72	9.67
ENSG00000188026.10	2.59	7.83	10.56	12.6	9.25	11.77	7.7	5.33	7.02	8.34	24.65
ENSG00000157500.9	10.09	9.35	12.95	11.76	13.05	16.14	15.27	5.82	10.39	12.46	15.81
ENSG00000179262.8	97.73	83.13	173.29	155.4	200.66	118.8	142.16	109.48	143.72	199.21	272.49
ENSG00000188223.9	7.73	6.33	7.62	10.93	7.22	7.81	5.91	4.6	21.12	4.86	15.1
ENSG00000165389.6	17.62	44.17	17.3	15.38	22.74	14.14	16.18	41.82	7.19	21.64	10.47
ENSG00000165943.4	5.28	13.45	9.11	6.85	5.71	8	13.5	8.57	6.71	9.25	9.56
ENSG00000165030.3	7.51	9.22	10.55	7.03	4.51	6.07	28.19	14.44	4.36	4.93	4.84
ENSG00000105401.5	268.31	168.6	210.5	279.35	356.54	249.31	124.74	174.88	390.77	383.81	474.55
ENSG00000144199.10	23.31	6.63	6.34	8.14	11.64	4.75	31.54	11.05	5.13	5.45	35.78
ENSG00000160948.12	92.87	109.05	132	226.76	176.96	136.11	90.92	28.97	171.1	94.45	218.68
ENSG00000095485.15	15.21	7.56	13.76	14.83	18.26	26.19	19.48	14.44	6.21	22.26	9.35
ENSG00000214655.9	34.59	48.94	32.06	67.14	38.76	51.44	18.39	39.33	74.64	26.61	124.44
ENSG00000102805.12	9.43	10.2	7.38	7.28	5.1	15.19	8.72	3.48	4.22	2.72	4.34
ENSG00000100522.7	17.75	7.53	21.59	41.26	20.75	22.81	19.77	33.52	19.86	30.43	28.54
ENSG00000241343.8	1010.97	1265.64	872.83	1089.41	872.31	1298.32	1139.39	916.8	506.81	1238.76	295.94
ENSG00000100099.19	18.13	18.92	15.16	14.37	12.63	8.55	29.63	11.88	18.97	15.76	23.9
ENSG00000125356.6	86.39	98.53	100.82	89.21	83.03	160.42	147.06	112.17	45.28	103.5	58.87
ENSG00000181163.12	1576.06	1305.33	2278.61	1191.77	3093.17	1923.91	984.66	1432.17	1133.87	2824.14	1235.04
ENSG00000198824.5	13.09	5.19	15.39	8.2	11.37	28.84	16.69	10.36	8.4	12.86	2.9
ENSG00000185324.20	63.23	40.86	56.56	49.99	29.3	65.68	35.22	44.86	31.75	102.68	56.4
ENSG00000136521.11	15.44	39.85	36.49	16.94	40.99	29.65	80.5	59.74	23.45	29.59	6.16
ENSG00000071994.9	20.25	33.44	46.36	43.77	31.74	38.52	38.08	31.02	36.38	61.19	31.29
ENSG00000162972.9	35.22	11.6	17.24	21.2	16.35	20.85	9.44	10.58	13.39	24.48	23.74
ENSG00000156463.16	5.63	5.78	10.56	3.29	9.87	2.49	3.01	2.72	6.07	12.9	39.57
ENSG00000160908.14	12.27	8.58	11.82	9.57	15.63	4.99	13.88	7.06	10.9	13.31	11.8
ENSG00000149554.11	26.74	4.25	36.14	20.32	9.84	30.62	42.8	14.6	20.45	34.13	5.7
ENSG00000177352.9	18.1	16.02	14.8	22.71	15.36	22.08	10.66	9.95	19.2	23.58	35.35
ENSG00000163171.7	49.13	26.47	17.89	19.52	17.07	21.34	9.99	8.45	79.48	116.3	1.62
ENSG00000176108.8	19.22	9.6	16.35	32.62	16.31	11.33	8.39	26	26.74	33.21	29.34
ENSG00000158483.14	11.08	4.4	9.76	8.81	9.46	9.63	4.99	10.5	6.65	8.44	23.96
ENSG00000152620.11	10.59	6.11	12.64	13.68	4.99	14.5	25.09	8.28	10.87	10.4	2.48
ENSG00000149600.10	35.85	26.07	38.56	29.62	15.63	26.01	24.58	19.59	36.3	36.26	9.21
ENSG00000017260.18	46.7	48.83	24.35	31.48	12.08	24.02	66.63	69.23	44.02	33.06	6.86
ENSG00000156411.8	148.49	128.41	142.76	124.01	48.75	113.75	177.76	137.89	53.09	97.97	11.76
ENSG00000109089.7	17.19	76.86	10.59	17.53	30.3	16.1	11.9	5.88	16.46	14.59	60.63
ENSG00000197774.11	19.3	7.22	9.66	20.39	2.33	4.35	0.98	3.58	9.83	4.69	26.79
ENSG00000161202.16	20.22	36.98	34.89	40.94	53.46	45.71	18.99	47.13	60.59	19.73	71.95
ENSG00000141644.16	63.36	52.03	54.88	75.7	48.65	25.83	37.45	32.13	55.91	33.37	112.52
ENSG00000173638.17	43.22	8.43	39.24	33.26	29.87	61.99	14.61	28.1	65.89	0.15	66.9
ENSG00000276045.1	12.81	6.49	21.7	41.65	29.48	24.28	8.15	14.73	31.09	57.62	35.7
ENSG00000198162.11	6.74	7.04	10.52	9.31	3.63	5.72	5.05	17.5	7.4	13.51	5.13
ENSG00000235106.7	18.96	13.08	14.4	22.24	8.9	29.57	6.04	22.27	10.55	15.18	27.1
ENSG00000141582.13	14.13	23.59	11.54	14.95	30.71	18.53	11.13	9.05	32.31	21.87	48.6
ENSG00000160211.14	161.12	174.49	82.54	169.46	75.26	147.85	358.79	142.68	151.09	79.75	98.36
ENSG00000188677.13	16.34	15.53	47.23	45.78	57.93	14.1	38.38	42.05	38.39	1.09	41.43
ENSG00000184640.16	261.86	118.89	154.08	344.27	150.09	33.72	219.97	153.72	175.39	128.56	303.86
ENSG00000178188.13	25.91	34.19	17.17	16.66	6.5	21.96	21.74	14.6	21.33	17.12	52.4
ENSG00000181817.5	68.88	22.29	52.6	72.63	66.38	81.03	34.67	29.16	50.81	60.08	182.49
ENSG00000104957.12	24.18	21.3	24.01	30.81	17.25	18.14	22.77	14.39	27.6	19.07	81.49
ENSG00000111653.18	12.94	36.81	12.8	10.33	4.95	10.93	20.96	7.52	8.01	10.11	12.28
ENSG00000181924.6	92.67	64.41	119.4	110.77	51.83	144.25	40.31	101.6	91.24	93.6	133.46
ENSG00000100994.10	345.09	295.93	368.42	464.29	207.74	88.35	86.99	131.77	104.31	95.31	933.24
ENSG00000002549.11	35.99	22.22	37.59	48.22	29.91	47.29	36.97	35.14	39.29	63.95	16.22
